State_of_Charge,StateofCharge,Voltage,DischargeVoltage,ChargeVoltage,DischargeEnergy
0.708,70.8,4.0291825,3.994878,4.063487,4.728487843
0.71,71,4.031112,3.996692,4.065532,4.697634843
0.712,71.2,4.0326535,3.998652,4.066655,4.666762843
0.714,71.4,4.0349305,4.00114,4.068721,4.635880843
0.716,71.6,4.0371385,4.003175,4.071102,4.604980843
0.718,71.8,4.039299,4.005472,4.073126,4.574062843
0.72,72,4.04108,4.007131,4.075029,4.543134843
0.722,72.2,4.043474,4.009851,4.077097,4.507025843
0.724,72.4,4.045787,4.012139,4.079435,4.476053843
0.726,72.6,4.047739,4.01397,4.081508,4.445067843
0.728,72.8,4.0494645,4.015939,4.08299,4.414065843
0.73,73,4.051649,4.018174,4.085124,4.383045843
0.732,73.2,4.0537735,4.020239,4.087308,4.352011843
0.734,73.4,4.056079,4.022425,4.089733,4.320956843
0.736,73.6,4.058007,4.024238,4.091776,4.289892843
0.738,73.8,4.059943,4.026311,4.093575,4.258816843
0.74,74,4.062201,4.028557,4.095845,4.227717843
0.742,74.2,4.0641525,4.030415,4.09789,4.196605843
0.744,74.4,4.065953,4.032454,4.099452,4.165478843
0.746,74.6,4.0677765,4.034255,4.101298,4.134336843
0.748,74.8,4.0697825,4.036257,4.103308,4.103178843
0.75,75,4.071994,4.038497,4.105491,4.072003843
0.752,75.2,4.0739025,4.040135,4.10767,4.040818843
0.754,75.4,4.0758015,4.042397,4.109206,4.009612843
0.756,75.6,4.077991,4.044641,4.111341,3.973188843
0.758,75.8,4.0799735,4.046515,4.113432,3.941945843
0.76,76,4.0817595,4.048532,4.114987,3.910694843
0.762,76.2,4.0837135,4.050714,4.116713,3.879424843
0.764,76.4,4.085626,4.052482,4.11877,3.848134843
0.766,76.6,4.087713,4.054693,4.120733,3.816829843
0.768,76.8,4.089735,4.056602,4.122868,3.785515843
0.77,77,4.091692,4.058409,4.124975,3.754181843
0.772,77.2,4.09385,4.060749,4.126951,3.722827843
0.774,77.4,4.0957505,4.062676,4.128825,3.691457843
0.776,77.6,4.0977925,4.064975,4.13061,3.660080843
